r_group	smiles	atom_num
[O-][*]	[OH-]	1
F[*]	F	1
C[*]	C	1
O[*]	O	1
N[*]	N	1
[NH3+][*]	[NH4+]	1
C[*]l	Cl	1
C[*]C	CC	2
N[*]N	NN	2
O[*]C	CO	2
C[*]=C	C=C	2
C[*]O	CO	2
C[*][NH3+]	C[NH3+]	2
S[*]C	CS	2
[NH2+][*]C	C[NH3+]	2
N[*]C	CN	2
[N+][*]	O=[NH+][O-]	3
C[*](N)=O	NC=O	3
C[*]SC	CSC	3
C[*]C[NH3+]	CC[NH3+]	3
C[*]OC	COC	3
C[*](=O)[O-]	O=C[O-]	3
C[*]CC	CCC	3
[S@][*](C)=O	C[SH]=O	3
[*]/C=C/C	[H]/C=C/C	3
C[*](N)=[NH2+]	NC=[NH2+]	3
O[*]CC	CCO	3
C[*]C=C	C=CC	3
S[*]CC	CCS	3
[NH+][*](C)C	C[NH2+]C	3
C[*](F)F	FCF	3
N[*](C)C	CNC	3
[*]/C(O)=N/[H]	[H]/N=C\O	3
C[*]CO	CCO	3
C[*](C)C	CCC	3
[S@@][*](C)=O	C[SH]=O	3
C1[*]CC1	C1CC1	3
C[*](C)=O	CC=O	3
[C@H][*](C)CC	CCCC	4
C[*]C(=O)[O-]	CC(=O)[O-]	4
C[*]OCC	CCOC	4
[C@H][*](C)OC	CCOC	4
C1[*]CCC1	C1CCC1	4
N[*]C(=[NH2+])O	NC(=[NH2+])O	4
[C@H][*](C)SC	CCSC	4
C[*][NH+](C)C	C[NH+](C)C	4
C[*]COC	CCOC	4
C[*]/C=C/C	C/C=C/C	4
C[*](C)(C)C	CC(C)C	4
C[*]CCC	CCCC	4
C[*]C1CC1	CC1CC1	4
N[*]CCO	NCCO	4
N[*]CC[NH3+]	NCC[NH3+]	4
C[*](C)(C)O	CC(C)O	4
C[*]CSC	CCSC	4
O[*]C(C)C	CC(C)O	4
C1[*]([NH3+])CC1	[NH3+]C1CC1	4
C[*](F)(F)F	FC(F)F	4
C[*]C(N)=O	CC(N)=O	4
C[*](=O)NC	CNC=O	4
N[*]C(C)=O	CC(N)=O	4
O[*]CCC	CCCO	4
C[*][S@@](C)=O	CS(C)=O	4
[*]/N=C(/N)O	[H]/N=C(/N)O	4
[C@@H][*](C)OC	CCOC	4
[N@@H+][*](C)CC	CC[NH2+]C	4
[C@@H][*](C)CC	CCCC	4
[NH2+][*]CCC	CCC[NH3+]	4
N[*]C(N)=[NH2+]	NC(N)=[NH2+]	4
C[*]C(C)=O	CC(C)=O	4
[C@H]1[*]C	CC1CC1	4
C[*]C[NH2+]C	CC[NH2+]C	4
C[*](=O)OC	COC=O	4
C[*]CC[NH3+]	CCC[NH3+]	4
N[*]C(N)=O	NC(N)=O	4
C[*][S@](C)=O	CS(C)=O	4
C[*]CCO	CCCO	4
[N@H+][*](C)CC	CC[NH2+]C	4
C[*]C(C)C	CC(C)C	4
O[*]C(F)F	OC(F)F	4
C[*](=O)NCC	CCNC=O	5
N[*]C(=O)OC	COC(N)=O	5
[C@@H][*](C)COC	CCCOC	5
[*]/N=N\N(C)C	[H]/N=N\N(C)C	5
c1[*]ccc[nH]1	c1cc[nH]c1	5
[C@@H]1[*]CCOC1	C1CCOC1	5
[C@@H]1[*]C=CCC1	C1=CCCC1	5
n1[*]cncn1	c1nc[nH]n1	5
c1[*][nH]cc[nH+]1	c1c[nH+]c[nH]1	5
c1[*]cn[nH]c1	c1cn[nH]c1	5
[*]/C(O)=N/CC	CC/N=C\O	5
C[*]CC(N)=O	CCC(N)=O	5
C[*](=O)C1CC1	O=CC1CC1	5
c1[*]c[nH]c[nH+]1	c1c[nH+]c[nH]1	5
c1[*]cc[nH]n1	c1cn[nH]c1	5
C[*](=O)OCC	CCOC=O	5
C[*]C(=O)NC	CNC(C)=O	5
N[*](C)C(C)=O	CNC(C)=O	5
N[*]CCC[NH3+]	NCCC[NH3+]	5
n1[*]cc[nH+]c1	c1c[nH+]c[nH]1	5
C[*]C(C)(C)O	CC(C)(C)O	5
O[*]CCOC	COCCO	5
c1[*]ccsc1	c1ccsc1	5
[C@H]1[*]CCOC1	C1CCOC1	5
[C@@H][*]C1	C1CC[NH2+]C1	5
[C@H][*]	[NH3+]CC(=O)[O-]	5
